Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,^GSPC,AAPL,GOOGL,MSFT,^GSPC,AAPL,GOOGL,MSFT,^GSPC,AAPL,GOOGL,MSFT,^GSPC,AAPL,GOOGL,MSFT,^GSPC,AAPL,GOOGL,MSFT,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,26.921550750732422,40.35418701171875,56.82814407348633,2257.830078125,29.037500381469727,40.4005012512207,62.58000183105469,2257.830078125,29.082500457763672,40.571998596191406,62.84000015258789,2263.8798828125,28.690000534057617,39.84450149536133,62.130001068115234,2245.1298828125,28.950000762939453,40.03099822998047,62.790000915527344,2251.570068359375,115127600,39180000,20694100,3773010000
2017-01-04,26.891414642333984,40.342201232910156,56.57388687133789,2270.75,29.0049991607666,40.38850021362305,62.29999923706055,2270.75,29.127500534057617,40.67150115966797,62.75,2272.820068359375,28.9375,40.205501556396484,62.119998931884766,2261.60009765625,28.962499618530273,40.49449920654297,62.47999954223633,2261.60009765625,84472400,30306000,21340000,3768890000
2017-01-05,27.028167724609375,40.604400634765625,56.57388687133789,2269.0,29.15250015258789,40.6510009765625,62.29999923706055,2269.0,29.21500015258789,40.6870002746582,62.65999984741211,2271.5,28.952499389648438,40.29600143432617,62.029998779296875,2260.449951171875,28.979999542236328,40.375,62.189998626708984,2268.179931640625,88774400,26810000,24876000,3785080000
2017-01-06,27.329484939575195,41.21320343017578,57.064247131347656,2276.97998046875,29.477500915527344,41.260501861572266,62.84000015258789,2276.97998046875,29.540000915527344,41.448001861572266,63.150001525878906,2282.10009765625,29.11750030517578,40.57500076293945,62.040000915527344,2264.06005859375,29.19499969482422,40.7495002746582,62.29999923706055,2271.139892578125,127007600,40342000,19922900,3342080000
2017-01-09,27.579811096191406,41.311588287353516,56.882633209228516,2268.89990234375,29.747499465942383,41.35900115966797,62.63999938964844,2268.89990234375,29.857500076293945,41.52149963378906,63.08000183105469,2275.489990234375,29.485000610351562,41.08100128173828,62.540000915527344,2268.89990234375,29.487499237060547,41.31850051879883,62.7599983215332,2273.590087890625,134247600,28178000,20382700,3219730000
2017-01-10,27.607616424560547,41.25315475463867,56.86445617675781,2268.89990234375,29.77750015258789,41.300498962402344,62.619998931884766,2268.89990234375,29.844999313354492,41.47050094604492,63.06999969482422,2279.27001953125,29.575000762939453,41.15700149536133,62.279998779296875,2265.27001953125,29.6924991607666,41.35350036621094,62.72999954223633,2269.719970703125,97848400,23948000,18593000,3640560000
2017-01-11,27.75596809387207,41.4454345703125,57.382080078125,2275.320068359375,29.9375,41.49300003051758,63.189998626708984,2275.320068359375,29.982500076293945,41.494998931884766,63.22999954223633,2275.320068359375,29.649999618530273,41.07350158691406,62.43000030517578,2260.830078125,29.684999465942383,41.33100128173828,62.61000061035156,2268.60009765625,110354400,26508000,21517300,3625080000
2017-01-12,27.64007568359375,41.428955078125,56.855384826660156,2270.43994140625,29.8125,41.47650146484375,62.61000061035156,2270.43994140625,29.825000762939453,41.51900100708008,63.400001525878906,2271.780029296875,29.552499771118164,41.050498962402344,61.95000076293945,2254.25,29.725000381469727,41.41899871826172,63.060001373291016,2271.139892578125,108344800,26990000,20968200,3466220000
